source,package_count,packages,single_or_multi,source_name_values,version_values,cpe_id_values,cpe_id_package_count,cpe_id_consistency,product_candidate_count,direct_product_candidate_count,possible_product_candidate_count,partial_component_count,non_product_count,ambiguous_count,unresolved_count,role_distribution,main_package_candidate,has_main_product_like_package,has_library_split,has_utility_split,has_plugin_module_split,has_kernel_package,is_vendor_specific,source_structure_summary
package/teltonika/smslimit,1,rpcd-mod-smslimit,SINGLE_PACKAGE_SOURCE,rpcd-mod-smslimit,7.12,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""PLUGIN_OR_MODULE"": 1}",,False,False,False,True,False,True,single installed package; plugin/module=1
package/teltonika/snsupdate,1,snsupdate,SINGLE_PACKAGE_SOURCE,snsupdate,1.0,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",snsupdate,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/sodog-tlt,1,sodog-tlt,SINGLE_PACKAGE_SOURCE,sodog-tlt,2025-02-20,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",sodog-tlt,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/storage-memory-expansion,1,storage-memory-expansion,SINGLE_PACKAGE_SOURCE,storage-memory-expansion,2023-07-25-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""UTILITY_OR_CLI_PACKAGE"": 1}",,False,False,True,False,False,True,single installed package; utility=1
package/teltonika/troubleshoot,1,troubleshoot,SINGLE_PACKAGE_SOURCE,troubleshoot,1.4,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",troubleshoot,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/uci-default,1,uci-default,SINGLE_PACKAGE_SOURCE,uci-default,2024-08-05-6,,0,NO_CPE_ID,0,0,0,0,1,0,0,"{""META_OR_HELPER_PACKAGE"": 1}",,False,False,False,False,False,True,single installed package; meta/helper=1
package/teltonika/uqmi,2,libtlt_uqmi | uqmi,MULTI_PACKAGE_SOURCE,libtlt_uqmi | uqmi,7.10-2,,0,NO_CPE_ID,1,0,1,1,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,False,False,True,2 installed packages; library=1; utility=1
package/teltonika/urcd,1,urcd,SINGLE_PACKAGE_SOURCE,urcd,1.5,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",urcd,True,False,False,False,False,True,single installed package; main/product-like=1
package/utils/busybox,1,busybox,SINGLE_PACKAGE_SOURCE,busybox,1.34.1-79.7,cpe:/a:busybox:busybox,1,ALL_PACKAGES_SAME_CPE_ID,1,1,0,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",busybox,True,False,False,False,False,False,single installed package; main/product-like=1
package/utils/e2fsprogs,4,e2fsprogs | libcomerr0 | libext2fs2 | libss2,MULTI_PACKAGE_SOURCE,e2fsprogs | libcomerr | libext2fs | libss,1.47.0-2,cpe:/a:e2fsprogs_project:e2fsprogs,4,ALL_PACKAGES_SAME_CPE_ID,1,0,1,3,0,0,0,"{""LIBRARY_PACKAGE"": 3, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,False,False,False,4 installed packages; library=3; utility=1
package/utils/exfatprogs,1,exfat-mkfs,SINGLE_PACKAGE_SOURCE,exfat-mkfs,1.1.3-4,cpe:/a:namjaejeon:exfatprogs,1,ALL_PACKAGES_SAME_CPE_ID,1,0,1,0,0,0,0,"{""UTILITY_OR_CLI_PACKAGE"": 1}",,False,False,True,False,False,False,single installed package; utility=1
package/utils/jsonfilter,1,jsonfilter,SINGLE_PACKAGE_SOURCE,jsonfilter,2018-02-04-c7e938d6-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""UTILITY_OR_CLI_PACKAGE"": 1}",,False,False,True,False,False,False,single installed package; utility=1
package/utils/lua,2,liblua5.1.5 | lua,MULTI_PACKAGE_SOURCE,liblua | lua,5.1.5-9,cpe:/a:lua:lua,2,ALL_PACKAGES_SAME_CPE_ID,1,0,1,1,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,False,False,False,2 installed packages; library=1; utility=1
package/utils/minizip,1,minizip,SINGLE_PACKAGE_SOURCE,minizip,4.0.7-2,cpe:/a:zlib-ng:minizip-ng,1,ALL_PACKAGES_SAME_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,False,single installed package; library=1
package/utils/ucode,7,libucode20220812 | ucode | ucode-mod-fs | ucode-mod-nl80211 | ucode-mod-rtnl | ucode-mod-ubus | ucode-mod-uloop,MULTI_PACKAGE_SOURCE,libucode | ucode | ucode-mod-fs | ucode-mod-nl80211 | ucode-mod-rtnl | ucode-mod-ubus | ucode-mod-uloop,2023-06-06-c7d84aae-1,,0,NO_CPE_ID,1,0,1,6,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""PLUGIN_OR_MODULE"": 5, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,True,False,False,7 installed packages; library=1; utility=1; plugin/module=5
package/utils/util-linux,2,libblkid1 | libuuid1,MULTI_PACKAGE_SOURCE,libblkid | libuuid,2.36.1-2,cpe:/a:kernel:util-linux,2,ALL_PACKAGES_SAME_CPE_ID,0,0,0,2,0,0,0,"{""LIBRARY_PACKAGE"": 2}",,False,True,False,False,False,False,2 installed packages; library=2
